Package,LibPath,Version,Priority,Built
abind,C:/Users/morrism/Documents/R/win-library/3.5,1.4-5,NA,3.5.0
ada,C:/Users/morrism/Documents/R/win-library/3.5,2.0-5,NA,3.5.0
animation,C:/Users/morrism/Documents/R/win-library/3.5,2.5,NA,3.5.0
ape,C:/Users/morrism/Documents/R/win-library/3.5,5.1,NA,3.5.1
asbio,C:/Users/morrism/Documents/R/win-library/3.5,1.5,NA,3.5.0
assertthat,C:/Users/morrism/Documents/R/win-library/3.5,0.2.0,NA,3.5.0
backports,C:/Users/morrism/Documents/R/win-library/3.5,1.1.2,NA,3.5.0
base64,C:/Users/morrism/Documents/R/win-library/3.5,2.0,NA,3.5.0
base64enc,C:/Users/morrism/Documents/R/win-library/3.5,0.1-3,NA,3.5.0
BH,C:/Users/morrism/Documents/R/win-library/3.5,1.66.0-1,NA,3.5.0
bindr,C:/Users/morrism/Documents/R/win-library/3.5,0.1.1,NA,3.5.0
bindrcpp,C:/Users/morrism/Documents/R/win-library/3.5,0.2.2,NA,3.5.0
bit,C:/Users/morrism/Documents/R/win-library/3.5,1.1-14,NA,3.5.0
bit64,C:/Users/morrism/Documents/R/win-library/3.5,0.9-7,NA,3.5.0
bitops,C:/Users/morrism/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
blob,C:/Users/morrism/Documents/R/win-library/3.5,1.1.1,NA,3.5.0
bookdown,C:/Users/morrism/Documents/R/win-library/3.5,0.7,NA,3.5.0
brew,C:/Users/morrism/Documents/R/win-library/3.5,1.0-6,NA,3.5.0
broom,C:/Users/morrism/Documents/R/win-library/3.5,0.4.4,NA,3.5.0
BSDA,C:/Users/morrism/Documents/R/win-library/3.5,1.2.0,NA,3.5.0
callr,C:/Users/morrism/Documents/R/win-library/3.5,2.0.4,NA,3.5.0
car,C:/Users/morrism/Documents/R/win-library/3.5,3.0-0,NA,3.5.0
carData,C:/Users/morrism/Documents/R/win-library/3.5,3.0-1,NA,3.5.0
cartogram,C:/Users/morrism/Documents/R/win-library/3.5,0.1.0,NA,3.5.1
caTools,C:/Users/morrism/Documents/R/win-library/3.5,1.17.1,NA,3.5.0
cellranger,C:/Users/morrism/Documents/R/win-library/3.5,1.1.0,NA,3.5.0
classInt,C:/Users/morrism/Documents/R/win-library/3.5,0.2-3,NA,3.5.1
cli,C:/Users/morrism/Documents/R/win-library/3.5,1.0.0,NA,3.5.0
clipr,C:/Users/morrism/Documents/R/win-library/3.5,0.4.1,NA,3.5.1
clisymbols,C:/Users/morrism/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
coda,C:/Users/morrism/Documents/R/win-library/3.5,0.19-1,NA,3.5.0
colorspace,C:/Users/morrism/Documents/R/win-library/3.5,1.3-2,NA,3.5.0
crayon,C:/Users/morrism/Documents/R/win-library/3.5,1.3.4,NA,3.5.0
crosstalk,C:/Users/morrism/Documents/R/win-library/3.5,1.0.0,NA,3.5.1
curl,C:/Users/morrism/Documents/R/win-library/3.5,3.2,NA,3.5.0
data.table,C:/Users/morrism/Documents/R/win-library/3.5,1.11.2,NA,3.5.0
DBI,C:/Users/morrism/Documents/R/win-library/3.5,1.0.0,NA,3.5.0
dbplyr,C:/Users/morrism/Documents/R/win-library/3.5,1.2.1,NA,3.5.0
DEoptimR,C:/Users/morrism/Documents/R/win-library/3.5,1.0-8,NA,3.5.0
desc,C:/Users/morrism/Documents/R/win-library/3.5,1.2.0,NA,3.5.1
DescTools,C:/Users/morrism/Documents/R/win-library/3.5,0.99.24,NA,3.5.0
deSolve,C:/Users/morrism/Documents/R/win-library/3.5,1.21,NA,3.5.0
devtools,C:/Users/morrism/Documents/R/win-library/3.5,1.13.6,NA,3.5.1
dichromat,C:/Users/morrism/Documents/R/win-library/3.5,2.0-0,NA,3.5.0
digest,C:/Users/morrism/Documents/R/win-library/3.5,0.6.15,NA,3.5.0
doParallel,C:/Users/morrism/Documents/R/win-library/3.5,1.0.11,NA,3.5.1
dplyr,C:/Users/morrism/Documents/R/win-library/3.5,0.7.5,NA,3.5.0
DT,C:/Users/morrism/Documents/R/win-library/3.5,0.4,NA,3.5.1
e1071,C:/Users/morrism/Documents/R/win-library/3.5,1.6-8,NA,3.5.0
egonet,C:/Users/morrism/Documents/R/win-library/3.5,0.0.0.9000,NA,3.5.0
EpiModel,C:/Users/morrism/Documents/R/win-library/3.5,1.6.5,NA,3.5.1
ergm,C:/Users/morrism/Documents/R/win-library/3.5,3.8.0,NA,3.5.1
ergm.count,C:/Users/morrism/Documents/R/win-library/3.5,3.2.2,NA,3.5.0
ergm.ego,C:/Users/morrism/Documents/R/win-library/3.5,0.4-259,NA,3.5.0
evaluate,C:/Users/morrism/Documents/R/win-library/3.5,0.10.1,NA,3.5.0
evd,C:/Users/morrism/Documents/R/win-library/3.5,2.3-3,NA,3.5.0
expm,C:/Users/morrism/Documents/R/win-library/3.5,0.999-2,NA,3.5.0
fastmatch,C:/Users/morrism/Documents/R/win-library/3.5,1.1-0,NA,3.5.0
ff,C:/Users/morrism/Documents/R/win-library/3.5,2.2-14,NA,3.5.0
ffbase,C:/Users/morrism/Documents/R/win-library/3.5,0.12.3,NA,3.5.0
forcats,C:/Users/morrism/Documents/R/win-library/3.5,0.3.0,NA,3.5.0
foreach,C:/Users/morrism/Documents/R/win-library/3.5,1.4.4,NA,3.5.1
fs,C:/Users/morrism/Documents/R/win-library/3.5,1.2.6,NA,3.5.1
gdalUtils,C:/Users/morrism/Documents/R/win-library/3.5,2.0.1.14,NA,3.5.1
gdtools,C:/Users/morrism/Documents/R/win-library/3.5,0.1.7,NA,3.5.1
GGally,C:/Users/morrism/Documents/R/win-library/3.5,1.4.0,NA,3.5.0
ggplot2,C:/Users/morrism/Documents/R/win-library/3.5,3.0.0,NA,3.5.1
gh,C:/Users/morrism/Documents/R/win-library/3.5,1.0.1,NA,3.5.1
git2r,C:/Users/morrism/Documents/R/win-library/3.5,0.23.0,NA,3.5.1
glue,C:/Users/morrism/Documents/R/win-library/3.5,1.2.0,NA,3.5.0
googlesheets,C:/Users/morrism/Documents/R/win-library/3.5,0.2.2,NA,3.5.0
gridExtra,C:/Users/morrism/Documents/R/win-library/3.5,2.3,NA,3.5.1
gtable,C:/Users/morrism/Documents/R/win-library/3.5,0.2.0,NA,3.5.0
haven,C:/Users/morrism/Documents/R/win-library/3.5,1.1.1,NA,3.5.0
here,C:/Users/morrism/Documents/R/win-library/3.5,0.1,NA,3.5.1
hexbin,C:/Users/morrism/Documents/R/win-library/3.5,1.27.2,NA,3.5.1
highr,C:/Users/morrism/Documents/R/win-library/3.5,0.6,NA,3.5.0
hms,C:/Users/morrism/Documents/R/win-library/3.5,0.4.2,NA,3.5.0
htmltools,C:/Users/morrism/Documents/R/win-library/3.5,0.3.6,NA,3.5.0
htmlwidgets,C:/Users/morrism/Documents/R/win-library/3.5,1.2,NA,3.5.0
httpuv,C:/Users/morrism/Documents/R/win-library/3.5,1.4.4.1,NA,3.5.0
httr,C:/Users/morrism/Documents/R/win-library/3.5,1.3.1,NA,3.5.0
ini,C:/Users/morrism/Documents/R/win-library/3.5,0.3.1,NA,3.5.1
ipred,C:/Users/morrism/Documents/R/win-library/3.5,0.9-6,NA,3.5.0
iterators,C:/Users/morrism/Documents/R/win-library/3.5,1.0.10,NA,3.5.1
jomo,C:/Users/morrism/Documents/R/win-library/3.5,2.6-2,NA,3.5.0
jsonlite,C:/Users/morrism/Documents/R/win-library/3.5,1.5,NA,3.5.0
knitr,C:/Users/morrism/Documents/R/win-library/3.5,1.20,NA,3.5.0
labeling,C:/Users/morrism/Documents/R/win-library/3.5,0.3,NA,3.5.0
later,C:/Users/morrism/Documents/R/win-library/3.5,0.7.3,NA,3.5.0
latticeExtra,C:/Users/morrism/Documents/R/win-library/3.5,0.6-28,NA,3.5.0
lava,C:/Users/morrism/Documents/R/win-library/3.5,1.6.1,NA,3.5.0
lazyeval,C:/Users/morrism/Documents/R/win-library/3.5,0.2.1,NA,3.5.0
leaflet,C:/Users/morrism/Documents/R/win-library/3.5,2.0.1,NA,3.5.1
lme4,C:/Users/morrism/Documents/R/win-library/3.5,1.1-17,NA,3.5.0
lpSolve,C:/Users/morrism/Documents/R/win-library/3.5,5.6.13,NA,3.5.0
lubridate,C:/Users/morrism/Documents/R/win-library/3.5,1.7.4,NA,3.5.0
lwgeom,C:/Users/morrism/Documents/R/win-library/3.5,0.1-4,NA,3.5.1
magrittr,C:/Users/morrism/Documents/R/win-library/3.5,1.5,NA,3.5.0
manipulate,C:/Users/morrism/Documents/R/win-library/3.5,1.0.1,NA,3.5.0
maps,C:/Users/morrism/Documents/R/win-library/3.5,3.3.0,NA,3.5.1
maptools,C:/Users/morrism/Documents/R/win-library/3.5,0.9-2,NA,3.5.0
mapview,C:/Users/morrism/Documents/R/win-library/3.5,2.4.0,NA,3.5.1
markdown,C:/Users/morrism/Documents/R/win-library/3.5,0.8,NA,3.5.0
MatrixModels,C:/Users/morrism/Documents/R/win-library/3.5,0.4-1,NA,3.5.0
memoise,C:/Users/morrism/Documents/R/win-library/3.5,1.1.0,NA,3.5.0
mice,C:/Users/morrism/Documents/R/win-library/3.5,3.1.0,NA,3.5.0
mime,C:/Users/morrism/Documents/R/win-library/3.5,0.5,NA,3.5.0
minqa,C:/Users/morrism/Documents/R/win-library/3.5,1.2.4,NA,3.5.0
mitml,C:/Users/morrism/Documents/R/win-library/3.5,0.3-5,NA,3.5.0
mnormt,C:/Users/morrism/Documents/R/win-library/3.5,1.5-5,NA,3.5.0
modelr,C:/Users/morrism/Documents/R/win-library/3.5,0.1.2,NA,3.5.0
multcompView,C:/Users/morrism/Documents/R/win-library/3.5,0.1-7,NA,3.5.0
munsell,C:/Users/morrism/Documents/R/win-library/3.5,0.4.3,NA,3.5.0
mvtnorm,C:/Users/morrism/Documents/R/win-library/3.5,1.0-7,NA,3.5.0
ndtv,C:/Users/morrism/Documents/R/win-library/3.5,0.12.2,NA,3.5.0
network,C:/Users/morrism/Documents/R/win-library/3.5,1.13.0.1,NA,3.5.0
networkDynamic,C:/Users/morrism/Documents/R/win-library/3.5,0.9.0,NA,3.5.0
nloptr,C:/Users/morrism/Documents/R/win-library/3.5,1.0.4,NA,3.5.0
numDeriv,C:/Users/morrism/Documents/R/win-library/3.5,2016.8-1,NA,3.5.0
openssl,C:/Users/morrism/Documents/R/win-library/3.5,1.0.1,NA,3.5.0
openxlsx,C:/Users/morrism/Documents/R/win-library/3.5,4.0.17,NA,3.5.0
packcircles,C:/Users/morrism/Documents/R/win-library/3.5,0.3.2,NA,3.5.1
packrat,C:/Users/morrism/Documents/R/win-library/3.5,0.4.9-3,NA,3.5.0
pan,C:/Users/morrism/Documents/R/win-library/3.5,1.4,NA,3.5.0
pbkrtest,C:/Users/morrism/Documents/R/win-library/3.5,0.4-7,NA,3.5.0
pillar,C:/Users/morrism/Documents/R/win-library/3.5,1.2.2,NA,3.5.0
pixmap,C:/Users/morrism/Documents/R/win-library/3.5,0.4-11,NA,3.5.0
pkgconfig,C:/Users/morrism/Documents/R/win-library/3.5,2.0.1,NA,3.5.0
